repository	commit	priority	status	elapsed_seconds	local_sources	error
bbotk	905901b45d4dd9445efc0ffa49e663ab5ae534cb	0	passed	6.62278532981873	-	-
mlr3tuning	b34b50947d45c2fa1d70a3eb1c7c520190a7b26e	0	passed	163.609883069992	-	-
miesmuschel	7aaca22d2fc61d8d86291b681a8ecbde21f649c5	0	passed	2.56656980514526	-	-
mlr3	f70c001d526213d80059744b81fcbc420bb83017	0	passed	3.0813512802124	-	-
mlr3pipelines	daebff3cc15257cdecde898fd3f0ceff5f320c53	0	passed	321.977874517441	-	-
mlr3learners	090109dd187b79c321e04e8948228f887f9215e6	0	passed	12.7853384017944	-	-
mlr3fselect	cd12d7717f31701edc6ebcf7f2cbe1168cae1ecb	0	passed	4.02037930488586	-	-
mlr3hyperband	c60678f7057150ffb889bb9ecb6c2744004a8a9e	0	passed	3.67999219894409	-	-
mlr3mbo	beea4afca5d0c4a49b733fe9c3307f677862bd3f	0	passed	3.11092400550842	-	-
mlr3tuningspaces	9147e5b005ed81f887fb35d7a369163d4e464e61	0	passed	3.36658716201782	-	-
mlr3verse	f67dd1563dc2ccffb188a1789cb48112cf4ef835	0	failed	265.213418245316	mlr3proba@327d0503b40b9373caa24d0326c1f8b2a5356415	! error in pak subprocess Caused by error in `stop_task_build(state, worker)`: ! Failed to build source package terra. Full installation output: * installing *source* package ‘terra’ ... ** this is package ‘terra’ version ‘1.9-34’ ** package ‘terra’ successfully unpacked and MD5 sums checked staged installation is only possible with locking ** using non-staged installation configure: CC: <PARADOX_ROOT>/.local/toolchain/bin/x86_64-conda-linux-gnu-cc configure: CXX: x86_64-conda-linux-gnu-c++ -std=gnu++20 checking for gdal-config... no no configure: error: gdal-config not found or not executable.  *** Installing this package from source requires the prior *** installation of external software, see for details *** https://r-spatial.github.io/sf/#installing ERROR: configuration failed for package ‘terra’ * removing ‘<PARADOX_ROOT>/.local/tmp/RtmpgpwJh0/pkg-libb748c302e55c8/terra’
