ordinal	function	up_count	pb_count	rationale_id
1	active_hidden_values	5	0	BORROWED_OWNER_ROOT
2	admit_public_domain_table_impl	38	3	DYNAMIC_PROTECT_DEPTH
3	admit_token_param_set_base	3	0	ADDRESS_TAKEN_MODEL
4	apply_individual_trafos	1	0	BORROWED_OWNER_ROOT
5	apply_sanitized_values	14	0	PROTECTED_ROOT_CARRIER
6	apply_type_filter	1	0	ADDRESS_TAKEN_MODEL
7	begin_elt	0	1	TEST_ALTREP_CONTRACT
8	build_collection_static_state	3	0	BORROWED_OWNER_ROOT
9	build_dependent_grid	7	4	DYNAMIC_PROTECT_DEPTH
10	build_graph	1	0	BORROWED_OWNER_ROOT
11	collection_active_constraint_row	16	0	BORROWED_OWNER_ROOT
12	collection_child_sources	8	0	BORROWED_OWNER_ROOT
13	collection_graph_build	2	0	BORROWED_OWNER_ROOT
14	conflicting_plan_entry	11	0	BORROWED_OWNER_ROOT
15	current_node_values	2	1	DYNAMIC_PROTECT_DEPTH
16	detach_domain_schema_value_leaf	1	0	ADDRESS_TAKEN_MODEL
17	exact_base_receipt_unchanged	3	0	BORROWED_OWNER_ROOT
18	exact_detached_callback_owner	6	0	BORROWED_OWNER_ROOT
19	exact_metadata_signature	2	0	BORROWED_OWNER_ROOT
20	exact_named_plain_list	1	0	BORROWED_OWNER_ROOT
21	exact_optional_s3_class	1	0	ADDRESS_TAKEN_MODEL
22	exact_requirement_condition	1	0	ADDRESS_TAKEN_MODEL
23	exact_semantic_leaf_token_claim	1	0	ADDRESS_TAKEN_MODEL
24	exact_token_claim	1	0	ADDRESS_TAKEN_MODEL
25	finish_tune_token_snapshot	1	0	ADDRESS_TAKEN_MODEL
26	graph_receipts_are_current	3	0	PROTECTED_ROOT_CARRIER
27	heal_graph	2	0	PROTECTED_ROOT_CARRIER
28	initialize_activity_mapping	1	0	ADDRESS_TAKEN_MODEL
29	initialize_child	4	0	BORROWED_OWNER_ROOT
30	initialize_new_node	9	0	PROTECTED_ROOT_CARRIER
31	initialize_node	13	0	BORROWED_OWNER_ROOT
32	internal_tuning_node_receipt_is_current	3	0	BORROWED_OWNER_ROOT
33	load_base_param_state	1	0	BORROWED_OWNER_ROOT
34	load_grid_state	6	0	BORROWED_OWNER_ROOT
35	load_param_state	2	0	BORROWED_OWNER_ROOT
36	load_snapshot	7	0	BORROWED_OWNER_ROOT
37	load_snapshot.1027	7	0	BORROWED_OWNER_ROOT
38	local_input_for_names	6	0	BORROWED_OWNER_ROOT
39	native_character_match	2	0	ADDRESS_TAKEN_MODEL
40	ordered_value_sources	8	0	BORROWED_OWNER_ROOT
41	origin_private_and_core	2	0	BORROWED_OWNER_ROOT
42	paradox_admit_builtin_domain_row	2	0	ADDRESS_TAKEN_MODEL
43	paradox_api_opaque_leaf_class_matches	1	0	ADDRESS_TAKEN_MODEL
44	paradox_api_ordinary_class_matches	1	0	ADDRESS_TAKEN_MODEL
45	paradox_builtin_condition_snapshot_is_current	2	0	ADDRESS_TAKEN_MODEL
46	paradox_builtin_requirements_snapshot_is_current	4	0	ADDRESS_TAKEN_MODEL
47	paradox_core_refresh	2	0	BORROWED_OWNER_ROOT
48	paradox_core_stamp_verified	1	0	BORROWED_OWNER_ROOT
49	paradox_core_state_from_private	1	0	BORROWED_OWNER_ROOT
50	paradox_core_validate_graph_path	1	0	ADDRESS_TAKEN_MODEL
51	paradox_dependency_graph_plan_build	1	0	ADDRESS_TAKEN_MODEL
52	paradox_design_dependency_plan	1	0	ADDRESS_TAKEN_MODEL
53	paradox_design_transpose	1	0	DYNAMIC_PROTECT_DEPTH
54	paradox_design_transpose_trafos	1	0	ADDRESS_TAKEN_MODEL
55	paradox_gateway_context_snapshot	8	0	BORROWED_OWNER_ROOT
56	paradox_generate_design_grid_builtin	1	0	ADDRESS_TAKEN_MODEL
57	paradox_param_set_add_dependency	13	2	DYNAMIC_PROTECT_DEPTH
58	paradox_param_set_assertion_state	1	0	ADDRESS_TAKEN_MODEL
59	paradox_param_set_base_snapshot_state	1	0	ADDRESS_TAKEN_MODEL
60	paradox_param_set_check_builtin_with_receipts	1	0	ADDRESS_TAKEN_MODEL
61	paradox_param_set_check_dependencies_builtin	1	0	ADDRESS_TAKEN_MODEL
62	paradox_param_set_check_dt_builtin	1	0	ADDRESS_TAKEN_MODEL
63	paradox_param_set_class_kind_raw	1	0	ADDRESS_TAKEN_MODEL
64	paradox_param_set_collection_constraint	1	0	ADDRESS_TAKEN_MODEL
65	paradox_param_set_collection_extra_trafo	1	0	ADDRESS_TAKEN_MODEL
66	paradox_param_set_collection_has_callback	1	0	ADDRESS_TAKEN_MODEL
67	paradox_param_set_collection_values	1	0	ADDRESS_TAKEN_MODEL
68	paradox_param_set_core_state	3	0	BORROWED_OWNER_ROOT
69	paradox_param_set_deep_clone_receipt	3	0	BORROWED_OWNER_ROOT
70	paradox_param_set_has_dependencies	1	0	ADDRESS_TAKEN_MODEL
71	paradox_param_set_ids_lazy	3	0	BORROWED_OWNER_ROOT
72	paradox_param_set_internal_tuning_snapshot	2	0	ADDRESS_TAKEN_MODEL
73	paradox_param_set_internal_tuning_store_owners	7	0	PROTECTED_ROOT_CARRIER
74	paradox_param_set_params	4	0	BORROWED_OWNER_ROOT
75	paradox_param_set_qunif_builtin	6	0	BORROWED_OWNER_ROOT
76	paradox_param_set_set_callback	3	2	DYNAMIC_PROTECT_DEPTH
77	paradox_param_set_set_dependencies	3	2	DYNAMIC_PROTECT_DEPTH
78	paradox_param_set_set_tags	23	3	DYNAMIC_PROTECT_DEPTH
79	paradox_param_set_shadow_constraint	2	0	ADDRESS_TAKEN_MODEL
80	paradox_param_set_shadow_construct	2	0	ADDRESS_TAKEN_MODEL
81	paradox_param_set_shadow_core_new	3	0	ADDRESS_TAKEN_MODEL
82	paradox_param_set_test_constraint_builtin	1	0	ADDRESS_TAKEN_MODEL
83	paradox_param_set_test_constraint_dt_builtin	1	0	ADDRESS_TAKEN_MODEL
84	paradox_param_set_validate_current_graph	1	0	ADDRESS_TAKEN_MODEL
85	paradox_param_set_validate_current_roots	1	0	ADDRESS_TAKEN_MODEL
86	paradox_param_set_values_merge	3	0	DYNAMIC_PROTECT_DEPTH
87	paradox_sampler_unif_sample_builtin	1	0	ADDRESS_TAKEN_MODEL
88	paradox_test_tune_token_gc_mutation_snapshot	1	0	ADDRESS_TAKEN_MODEL
89	paradox_tune_token_snapshot_current	1	0	PROTECTED_ROOT_CARRIER
90	paradox_validate_upgrade_public_binding_receipts	1	0	ADDRESS_TAKEN_MODEL
91	param_set_collection_add_impl	5	0	PROTECTED_ROOT_CARRIER
92	param_set_subset_state_impl	1	0	ADDRESS_TAKEN_MODEL
93	param_set_subspace_states_impl	1	0	ADDRESS_TAKEN_MODEL
94	process_shadow_write	15	0	BORROWED_OWNER_ROOT
95	protected_checked_core	0	1	DYNAMIC_PROTECT_DEPTH
96	root_value_sources	1	0	BORROWED_OWNER_ROOT
97	run_batch	1	0	ADDRESS_TAKEN_MODEL
98	run_detached_constraints	2	0	ADDRESS_TAKEN_MODEL
99	run_detached_extra_trafos	2	0	ADDRESS_TAKEN_MODEL
100	run_value_transaction	7	0	PROTECTED_ROOT_CARRIER
101	shadow_refresh_authoritative	4	1	DYNAMIC_PROTECT_DEPTH
102	snapshot_add_graph	4	0	PROTECTED_ROOT_CARRIER
103	snapshot_domain_cargo	3	0	BORROWED_OWNER_ROOT
104	snapshot_transaction_values	1	0	BORROWED_OWNER_ROOT
105	stabilize_table_list_columns	3	0	BORROWED_OWNER_ROOT
106	table_point	3	0	BORROWED_OWNER_ROOT
107	test_integer_elt	1	2	TEST_ALTREP_CONTRACT
108	test_list_elt	1	2	TEST_ALTREP_CONTRACT
109	test_logical_elt	1	2	TEST_ALTREP_CONTRACT
110	test_real_elt	1	2	TEST_ALTREP_CONTRACT
111	test_string_elt	1	2	TEST_ALTREP_CONTRACT
112	validate_dependencies	1	0	ADDRESS_TAKEN_MODEL
113	validate_node_schema	1	0	ADDRESS_TAKEN_MODEL
114	validate_source_fields	1	0	ADDRESS_TAKEN_MODEL
115	verify_token_receipts	2	0	ADDRESS_TAKEN_MODEL
