package	version	sha256
backports	1.5.1	b8eeeabe3c27e1486f43e0b18dae57f0e870dd7c6979d3668df76bf0d4735bad
brio	1.1.5	a9f22335ea39039de25bb27bccd5ff1ffb2b743579b31d150b6b91c9ea81d0b8
cli	3.6.6	b2b58d6dd82f5798b335e39c00591686a01fd3e94399ef898e146173e36f18f9
crayon	1.5.3	3e74a0685541efb5ea763b92cfd5c859df71c46b0605967a0b5dbb7326e9da69
data.table	1.18.4	d65256f0050a6443770d5982b5098a2a8c894f9675ed17053416c7815cbddeb9
digest	0.6.39	8bf048b49b2d17077138fae758bda56bbd53278d9437f2fdeaedf979c90a13c9
evaluate	1.0.5	47aac79f889a828a5f8b4756cb972d7c2966bb984cbae17a4bd2389a73270794
fs	2.1.0	7088af1117d65c4ceb144b532e323f197fc8243b1d704bf6edf40774789829cd
glue	1.8.1	1c55905d3efc3d5c199ceb0bd12218e97f0d4c64df6038ff41ecef415478a122
jsonlite	2.0.0	75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d
magrittr	2.0.5	3f5b5b1d4e6d12807a95c50b6c88cb1d8af2c5eb5213f08bfe58f278eca2ed23
otel	0.2.0	ef8afe5a1bc8074bbeb8a84134699ef348a1f8ac629ffba25ee43ea7bcd8dd17
praise	1.0.0	5c035e74fd05dfa59b03afe0d5f4c53fbf34144e175e90c53d09c6baedf5debd
ps	1.9.3	7b227f0627709a2073daf960ac612a0b87d03e18f7dd5c1938048ed440ef2e68
R6	2.6.1	59c6eba8b1b912eb7e104f65053235604be853425ee67c152ac4e86a1f2073b4
rlang	1.3.0	80aa537d49e72265f443a15e8936128af583caa5e572086518b503cbf064279c
rprojroot	2.1.1	473989bbef45fd9cd68f68dc317b14c9f42de5cea4b55fd6ba9011f25e0517e9
withr	3.0.3	d86c6454164fc85678bfc85e2a6cce42f7461d45fa9a87de71f376e7956c991e
checkmate	2.3.4	95e1068dee07d95c5e616dfd66e622cf245821acd358a77e790118c34ebd85ca
desc	1.4.3	54468da73dd78fc9e7c565c41cfe3331802c2134b2e61a9ad197215317092f26
diffobj	0.3.6	b316d9c37177b19ce7f39ba32872d09ab600909709fd313c1e39398a4ae51287
lifecycle	1.0.5	61841e3e6edba056a88355a3f1d6698ab8d5d9cb3c05f2af0ec5a44ab516f8ee
processx	3.9.0	cdfef9035405891d8b104b258a40f62656f215aba7dcdc9f3226203c4c8fb354
callr	3.8.0	a16b50e41ddbbf2bac236572e3e68c4ef9c76b88faf5cf840c79524c49000b06
mlr3misc	0.22.0	739e23e1a17d2ff43764656055b8aaa360dcce41907ac1867de0e7cd60e40ef5
waldo	0.6.2	b22a746be625eec49736d2a0a18d96c45c14d97e30e42bc81a0740f3194e07fa
pkgbuild	1.4.8	2e4259202ce90fc452f31ff36cfe14ff21a38e9fd71c3015e25018b9079924cb
pkgload	1.5.3	5e539f91ca36b8ed80933101baf2a57462b9342c68556f5d4dcb86c01639df28
testthat	3.3.2	5d2e2fa2c3dcb523afb6898c02be9544c24c1c7e0789149c436fef768a409808
